index,filename,width,height,bytes,sha256,has_exif,camera_model,focal_length,colmap_status
1,booth01_a1_1787070019183.jpg,1024,1024,721779,53f1edcd0428363e16645bdabf648061c0613278c9c0c3f052e561be1799d5d6,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
2,booth01_a2_1787070037115.jpg,1024,1024,872689,2297da1bb77c1a7420b030452b8ee409e8407d9782cb813d643ffddc1cec3568,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
3,booth01_a3_1787070052150.jpg,1024,1024,727032,b26f0a489c4e6b22ed29e81821769ff04aa12b94757ccd1ca91a7d5ba1e9a51e,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
4,booth02_a1_1787070070691.jpg,1024,1024,721476,f54407bba51d9510f39becde61a492b5e72b2cba5df8c1d160856fe425c34364,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
5,booth02_a2_1787070091133.jpg,1024,1024,935091,22843960952d2a102e823c25edfe3ca6a34498700ae0f218db09994533a19ebd,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
6,booth02_a3_1787070104226.jpg,1024,1024,671611,6c5f14bcb77c6f75aeefd24dc8519845699bcfdac31695b8f0db01f6828d715e,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
7,booth03_a1_1787070141591.jpg,1200,896,684875,1f5fca1871e92254939e644ae920e87d163b65e382606e19e0731fcab0f40965,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
8,booth03_a2_1787070152139.jpg,1200,896,806350,838962b4b33a8b2710e4734548e96e075b1f7f8223a60e5e342d631abecbd419,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
9,booth03_a3_1787070825035.jpg,1024,1024,646402,4e5a9ea958268747f4de145aa54d67c7d618d3e9deba8866168afc29b675ea4c,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
10,booth04_a1_1787070866680.jpg,1024,1024,802436,a578ab5473406362701daf84738e4f2c583f6c685fe1b63843ab6622d0fbc4e5,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
11,booth04_a2_1787070881705.jpg,1024,1024,868513,7407d0fe72f8aeaa9728e60e273965b321f4d53114fdbb93c0d23c890650d88f,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
12,booth04_a3_1787070900478.jpg,1024,1024,610862,a7e1b5f8183fa8d5c36f1908a9187950c41aaf9fca8ffc60ab44366fdcbe4fbb,False,Unknown,Unknown,ACCEPTED_AUTHENTIC
